Pos,P+,Artist and Title,Wks,Pk,(x?),Streams,Streams+,Total
1,=,Taylor Swift - The Fate of Ophelia,2,1,(x2),"557,641","-209,482","1,324,764"
2,+2,Olivia Dean - Man I Need,9,1,(x3),"520,933","+8,176","3,442,322"
3,-1,Taylor Swift - Opalite,2,2,(x1),"398,866","-188,844","986,576"
4,+10,"HUNTR/X - Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",17,1,(x8),"358,810","+10,345","5,945,571"
5,-2,Taylor Swift - Elizabeth Taylor,2,3,(x1),"300,260","-259,488","860,008"
6,-1,Taylor Swift - Father Figure,2,5,,"266,299","-239,876","772,474"
7,=,Taylor Swift - The Life of a Showgirl (w/ Sabrina Carpenter),2,7,,"241,734","-193,617","677,085"
8,+7,Disco Lines - No Broke Boys (w/ Tinashe),18,3,(x1),"236,431","+6,062","3,538,014"
9,-3,Taylor Swift - Wood,2,6,,"233,495","-208,709","675,699"
10,+6,Alex Warren - Ordinary,36,1,(x16),"232,012","+5,319","9,631,423"
11,-1,Taylor Swift - Wi$h Li$t,2,10,,"221,371","-194,754","637,496"
12,+12,Olivia Dean - So Easy (To Fall In Love),3,12,,"218,938","+44,698","538,613"
13,-4,Taylor Swift - Actually Romantic,2,9,,"216,602","-213,317","646,521"
14,-6,Taylor Swift - CANCELLED!,2,8,,"211,609","-221,072","644,290"
15,+2,"Saja Boys - Soda Pop (w/ Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast)",17,2,(x3),"206,296","-1,537","4,194,614"
16,+2,sombr - back to friends,31,2,(x1),"202,969","-1,991","6,018,308"
17,+4,Fleetwood Mac - Dreams - 2004 Remaster,430,5,,"201,238","+17,621","46,308,059"
18,-6,Taylor Swift - Ruin The Friendship,2,12,,"198,065","-209,655","605,785"
19,-8,Taylor Swift - Eldest Daughter,2,11,,"192,286","-223,241","607,813"
20,+2,sombr - 12 to 12,12,8,,"189,643","+8,153","1,921,181"
21,-1,Olivia Dean - Nice To Each Other,19,6,,"189,417","+3,065","2,396,555"
22,+5,RAYE - WHERE IS MY HUSBAND!,4,16,,"183,125","+12,866","621,629"
23,+2,Kehlani - Folded,18,12,,"178,350","+5,522","2,823,947"
24,-1,Teddy Swims - Lose Control,112,4,,"174,996","-5,013","22,295,544"
25,-12,Taylor Swift - Honey,2,13,,"174,537","-179,250","528,324"
