Pos,P+,Artist and Title,Wks,Pk,(x?),Streams,Streams+,Total
1,=,Taylor Swift - The Fate of Ophelia,2,1,(x2),"25,505,603","-23,507,117","74,518,323"
2,=,Taylor Swift - Opalite,2,2,(x2),"20,032,276","-19,984,458","60,049,010"
3,=,Taylor Swift - Elizabeth Taylor,2,3,(x2),"15,655,064","-21,131,889","52,442,017"
4,=,Taylor Swift - Father Figure,2,4,,"14,901,700","-19,813,688","49,617,088"
5,=,Taylor Swift - Wood,2,5,,"12,354,748","-17,882,079","42,591,575"
6,+1,Taylor Swift - Wi$h Li$t,2,6,,"12,300,928","-16,616,635","41,218,491"
7,+6,"HUNTR/X - Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",17,1,(x10),"12,199,767","+134,455","200,287,108"
8,+2,Taylor Swift - The Life of a Showgirl (w/ Sabrina Carpenter),2,8,,"11,985,125","-16,021,825","39,992,075"
9,-3,Taylor Swift - Actually Romantic,2,6,,"11,808,107","-17,322,670","40,938,884"
10,-1,Taylor Swift - CANCELLED!,2,9,,"11,133,573","-17,050,206","39,317,352"
11,-3,Taylor Swift - Eldest Daughter,2,8,,"10,699,600","-17,591,738","38,990,938"
12,-1,Taylor Swift - Ruin The Friendship,2,11,,"10,624,759","-16,602,128","37,851,646"
13,-1,Taylor Swift - Honey,2,12,,"9,934,311","-14,660,756","34,529,378"
14,+2,Olivia Dean - Man I Need,8,4,,"7,533,967","+27,814","51,402,507"
15,-1,Tate McRae - TIT FOR TAT,3,2,(x1),"7,485,003","-1,675,000","28,019,774"
16,-1,sombr - back to friends,30,2,(x4),"7,254,128","-598,743","212,643,439"
17,=,"Saja Boys - Your Idol (w/ Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast)",17,2,(x5),"6,761,465","-285,311","149,958,168"
18,=,Alex Warren - Ordinary,36,1,(x2),"6,586,500","-52,993","257,372,112"
